scenario,region,variables,unit,2020,2030,2050
S3 Renew,FR,Production|Electricity|Renewable|Photovoltaic roof small,TWh/year,1.71953883405519,1.8902502995429,25.0063227638134
S3 Renew,FR,Production|Electricity|Renewable|Photovoltaic roof total,TWh/year,6.2469389614179,11.9221753104643,71.1969915800684
S3 Renew,FR,Production|Electricity|Renewable|Photovoltaic total,TWh/year,11.3376302813604,40.3221683178528,172.195863386128
S3 Renew,FR,Production|Electricity|Renewable|Wind turbines|Fixed Offshore,TWh/year,0,16.916487263572,60.9571413545508
S3 Renew,FR,Production|Electricity|Renewable|Wind turbines|Floating Offshore,TWh/year,0,2.71221584367731,102.399913495519
S3 Renew,FR,Production|Electricity|Renewable|Wind turbines|Offshore total,TWh/year,0,19.6287031072493,163.35705485007
S3 Renew,FR,Production|Electricity|Renewable|Wind turbines|Onshore total,TWh/year,29.6547337999435,63.1127730278702,156.813547531252
S3 Renew,FR,Production|Electricity|Renewable|Sea,TWh/year,0.393199662581687,0.345161997261968,0.45165326985984
S3 Renew,FR,Production|Electricity|Renewable|Biogas|CHP,TWh/year,2.02875941141346,1.78090348758121,2.33035759976893
S3 Renew,FR,Production|Electricity|Renewable|Biomass|CHP,TWh/year,1.36712583240364,1.46823067443173,1.9212172553061
S3 Renew,FR,Production|Electricity|Conventional|Waste,TWh/year,2.68009498253595,2.35266462577827,3.07852162041426
S3 Renew,FR,Production|Electricity|Renewable|Geothermal,TWh/year,0.00400622187357709,0.0456230534211352,0.0596989281036252
S3 Renew,FR,Production|Electricity|Hydro|Reservoir,TWh/year,8.66422896711291,7.60570991026885,9.95224022883135
S3 Renew,FR,Production|Electricity|Hydro|Run of river,TWh/year,45.4872020773428,39.9299770289114,52.2492612013646
S3 Renew,FR,Production|Electricity|Hydro Total,TWh/year,54.1514310444557,47.5356869391803,62.2015014301959
S3 Renew,FR,Production|Electricity|Total primary electricity without flexibility,TWh/year,550.62601366381,636.046785261109,663.933541252979
S3 Renew,FR,Consumption|Electricity|Exports,TWh/year,99.0617844985247,120.959930717731,122.291150741418
S3 Renew,FR,Production|Electricity|Imports,TWh/year,17.3399248898655,39.8646164587257,119.094833621039
S3 Renew,FR,Balance|Electricity|Export-import balance,TWh/year,81.7218596086592,81.0953142590053,3.19631712037899
S3 Renew,FR,Production|Electricity|Storage|Hydro|Pumped storage,TWh/year,3.05865689390695,3.83372311983776,10.9669109908588
S3 Renew,FR,Production|Electricity|Storage|Battery,TWh/year,1.17278761047331E-06,3.51817789456017E-06,0.155352366317064
S3 Renew,FR,Production|Electricity|Low to medium,TWh,1,1,1
S3 Renew,FR,Production|Electricity|Medium to high,TWh,1,1,1
S3 Renew,FR,Efficiency|Storage|Battery|Charge,%,85,90,90
S3 Renew,FR,Efficiency|Storage|Hydro|Pumped storage,%,70,75,80
S3 Nuc,FR,Production|Electricity|Nuclear,TWh/year,348.55332425649,284.533579468385,130.233860586717
S3 Nuc,FR,Production|Electricity|Conventional|Mix gas|Combined Cycle Turbines,TWh/year,1.28147734888987,11.570337203649,19.9173837939652
S3 Nuc,FR,Production|Electricity|Conventional|Mix gas|Open Cycle Turbines,TWh/year,0.00223819066839586,0.0031247099559559,0.0000362864656839367
S3 Nuc,FR,Production|Electricity|Conventional|Mix gas|Cycle Turbines total,TWh/year,1.28371553955826,11.5734619136049,19.9174200804309
S3 Nuc,FR,Production|Electricity|Conventional|Coal,TWh/year,7.28526400258845,0,0
S3 Nuc,FR,Production|Electricity|Conventional|Fuel oil and Mix gas|CHP,TWh/year,10.6904825234273,3.30913452449123,0
S3 Nuc,FR,Production|Electricity|Conventional|Fuel oil|CHP,TWh/year,1.96060001387892,0,0
S3 Nuc,FR,Production|Electricity|Conventional|Mix gas|CHP,TWh/year,8.72988250954833,3.30913452449123,0
S3 Nuc,FR,Production|Electricity|Renewable|Photovoltaic ground fix,TWh/year,5.09069131994248,28.4348006744596,102.317401825201
S3 Nuc,FR,Production|Electricity|Renewable|Photovoltaic ground tracker,TWh/year,0,2.256054498827E-09,6.04213480069572E-08
S3 Nuc,FR,Production|Electricity|Renewable|Photovoltaic ground total,TWh/year,5.09069131994248,28.4348006767157,102.317401885623
S3 Nuc,FR,Production|Electricity|Renewable|Photovoltaic roof large,TWh/year,4.52740010579669,10.0319250099852,46.2153124422831
S3 Nuc,FR,Production|Electricity|Renewable|Photovoltaic roof small,TWh/year,1.71953883405519,1.89025029867309,25.6902176116097
S3 Nuc,FR,Production|Electricity|Renewable|Photovoltaic roof total,TWh/year,6.24693893985189,11.9221753086583,71.9055300538928
S3 Nuc,FR,Production|Electricity|Renewable|Photovoltaic total,TWh/year,11.3376302597944,40.3569759853739,174.222931939515
S3 Nuc,FR,Production|Electricity|Renewable|Wind turbines|Fixed Offshore,TWh/year,0,16.9164873361105,60.9571413544864
S3 Nuc,FR,Production|Electricity|Renewable|Wind turbines|Floating Offshore,TWh/year,0,2.7122158429756,17.2402240508245
S3 Nuc,FR,Production|Electricity|Renewable|Wind turbines|Offshore total,TWh/year,0,19.6287031790861,78.1973654053109
S3 Nuc,FR,Production|Electricity|Renewable|Wind turbines|Onshore total,TWh/year,29.6547337999435,63.1015898563626,157.377510177577
S3 Nuc,FR,Production|Electricity|Renewable|Sea,TWh/year,0.393199662581687,0.345161997261968,0.45165326985984
